Location,URL
Manchester,"<a href=""https://t.co/3640kmpdfF"">https://t.co/3640kmpdfF</a>"
Melling,"<a href=""https://t.co/HQkNkLkG7N"">https://t.co/HQkNkLkG7N</a>"
Middleton,"<a href=""https://t.co/DDHMk0SHdw"">https://t.co/DDHMk0SHdw</a>"
North Liverpool,"<a href=""https://t.co/4tc4Mtlktg"">https://t.co/4tc4Mtlktg</a>"
Oldham,"<a href=""https://t.co/euA9tmAhpO"">https://t.co/euA9tmAhpO</a>"
Oldham,"<a href=""https://t.co/1jYPYhcJec"">https://t.co/1jYPYhcJec</a>"
Oldham,"<a href=""https://t.co/aUZQlfBrZx"">https://t.co/aUZQlfBrZx</a>"
Preston,"<a href=""https://t.co/Utp8Dc32hs"">https://t.co/Utp8Dc32hs</a>"
Preston,"<a href=""https://t.co/nXJYFJbapZ"">https://t.co/nXJYFJbapZ</a>"
Preston,"<a href=""https://t.co/nXJYFJbapZ"">https://t.co/nXJYFJbapZ</a>"
Ramsbottom,"<a href=""https://t.co/uca6jJkJUK"">https://t.co/uca6jJkJUK</a>"
Rochdale,"<a href=""https://t.co/DLvEwHHC5T"">https://t.co/DLvEwHHC5T</a>"
Rochdale,"<a href=""https://t.co/HkTstkrN8M"">https://t.co/HkTstkrN8M</a>"
Romiley,"<a href=""https://t.co/W80W7hXvRB"">https://t.co/W80W7hXvRB</a>"
Rossendale,"<a href=""https://t.co/BouH92dlwq"">https://t.co/BouH92dlwq</a>"
Rossendale,"<a href=""https://t.co/BouH92dlwq"">https://t.co/BouH92dlwq</a>"
Rossendale,"<a href=""https://t.co/c4sajHAd60"">https://t.co/c4sajHAd60</a>"
Salford,"<a href=""https://t.co/7ON2n3WT3Y"">https://t.co/7ON2n3WT3Y</a>"
Salford,"<a href=""https://t.co/jrxT3gWqc5"">https://t.co/jrxT3gWqc5</a>"
Salford,"<a href=""https://t.co/kVoyxBeQVA"">https://t.co/kVoyxBeQVA</a>"
Salford Quays,"<a href=""https://t.co/aGORqSMKEW"">https://t.co/aGORqSMKEW</a>"
Salford Quays,"<a href=""https://t.co/dZexn8WYvZ"">https://t.co/dZexn8WYvZ</a>"
Southport,"<a href=""https://t.co/lrNqm5WBHk"">https://t.co/lrNqm5WBHk</a>"
Southport,"<a href=""https://t.co/YTm01SpsSv"">https://t.co/YTm01SpsSv</a>"
St Helen's,"<a href=""https://t.co/i7dQXxGBXs"">https://t.co/i7dQXxGBXs</a>"
Stalybridge,"<a href=""https://t.co/U9FR64hjap"">https://t.co/U9FR64hjap</a>"
Stockport,"<a href=""https://t.co/SyWmizJZsx"">https://t.co/SyWmizJZsx</a>"
Stockport,"<a href=""https://t.co/Y3jH1lYzgA"">https://t.co/Y3jH1lYzgA</a>"
Stretford,"<a href=""https://t.co/LFshmMbv4t"">https://t.co/LFshmMbv4t</a>"
Stretford,"<a href=""https://t.co/LZWwBac0r5"">https://t.co/LZWwBac0r5</a>"
Trafford,"<a href=""https://t.co/Rflx8xegD7"">https://t.co/Rflx8xegD7</a>"
Urmston,"<a href=""https://t.co/6BlGxYznpg"">https://t.co/6BlGxYznpg</a>"
Wallasey,"<a href=""https://t.co/NzIJ7gtrAp"">https://t.co/NzIJ7gtrAp</a>"
West Lancashire,"<a href=""https://t.co/CuKsb7dL9D"">https://t.co/CuKsb7dL9D</a>"
Wigan,"<a href=""https://t.co/hvAqpvLTik"">https://t.co/hvAqpvLTik</a>"
Wigan,"<a href=""https://t.co/Vg41NT7VFh"">https://t.co/Vg41NT7VFh</a>"
Wirral,"<a href=""https://t.co/IgucmFY8YO"">https://t.co/IgucmFY8YO</a>"
Wirral,"<a href=""https://t.co/lpJcONfClx"">https://t.co/lpJcONfClx</a>"
Wythenshawe,"<a href=""https://t.co/pPPI4peUEx"">https://t.co/pPPI4peUEx</a>"
